pageid,title
98969,Felipe VI
689977,Juan Jesús Vivas
11403072,Miguel Ángel Revilla
20811277,Guillermo Fernández Vara
24020354,Pilar Alegría
27783523,Consuelo Femenía
32527629,Iñigo Urkullu
37291623,Ramón Gil-Casares
43297512,Pedro Sánchez
43929467,Ada Colau
44628540,Joan Subirats
45473644,Juan Manuel Moreno
45604417,Alberto Garzón
46758385,Ximo Puig
47663536,Miquel Iceta
47960831,Isabel Celaá
51051345,José Ignacio Ceniceros
52285216,Alfonso Dastis
52603664,Jorge Moragas
53829523,Emiliano García-Page
54736539,Teodoro Esteban López Calderón
55833132,Carolina Darias
56342791,José María Robles Fraga
56485699,Francina Armengol
57231859,Ángel Garrido
57469108,Pere Aragonès
57504436,Irene Montero
57623557,Fernando Grande-Marlaska
57626115,Margarita Robles
57632987,Dolores Delgado
57724796,Nadia Calviño
57764979,Reyes Maroto
57784975,Teresa Ribera
57893421,Ricardo Díez-Hochleitner Rodríguez (ambassador)
57952691,María Jesús Montero
57954033,Meritxell Batet
57984381,Luis Planas
58097532,Pablo Hernández de Cos
59693424,Isabel Díaz Ayuso
59757144,Javier Lambán
59766298,Fernando López Miras
59851548,Pilar Llop
60832064,Ander Gil
61011292,María Chivite
61094796,Alfonso Fernández Mañueco
61218294,Eduardo de Castro
61295894,Adrián Barbón
61632826,Concha Andreu
61647660,Diana Morant
62754642,Yolanda Díaz
62790120,José Manuel Albares
62794237,José Luis Escrivá
62992878,Santiago Cabanas
63042359,Isabel Rodríguez García
67108576,Ione Belarra
68211749,Félix Bolaños
68224984,Raquel Sánchez Jiménez
