name,position
Pedro Sánchez Pérez-Castejón,President of the Government of Spain
Nadia Calviño Santamaría,First Vice-President of the Government of Spain
Nadia Calviño Santamaría,Minister for the Economy and Digital Transformation
Yolanda Díaz Pérez,Second Vice-President of the Government of Spain
Yolanda Díaz Pérez,Minister for Work and Social Economy
Teresa Ribera Rodríguez,Third Vice-President of the Government of Spain
Teresa Ribera Rodríguez,Minister for Ecological Transition and Demographic Challenge
José Manuel Albares Bueno,"Minister for Foreign Affairs, European Union and Cooperation"
Pilar Llop Cuenca,Minister for Justice
Margarita Robles Fernández,Minister for Defence
María Jesús Montero Cuadrado,Minister for Finance and Public Function
Fernando Grande-Marlaska Gómez,Minister for Home Affairs
Raquel Sánchez Jiménez,"Minister for Transport, Mobility and Urban Agenda"
Pilar Alegría Continente,Minister for Education and Vocational Training
Reyes Maroto Illera,"Minister for Industry, Trade and Tourism"
Luis Planas Puchades,"Minister for Agriculture, Fisheries and Food"
Félix Bolaños García,"Minister for the Presidency, Parliamentary Relations and Democratic Memory"
Isabel Rodríguez García,Minister for Territorial Policy
Isabel Rodríguez García,Government Spokesperson
Miquel Iceta Llorens,Minister for Culture and Sport
Carolina Darias San Sebastián,Minister for Health
Ione Belarra Urteaga,Minister for Social Rights and 2030 Agenda
Diana Morant Ripoll,Minister for Science and Innovation
Irene Montero Gil,Minister for Equality
Alberto Garzón Espinosa,Minister for Consumer Affairs
José Luis Escrivá Belmonte,"Minister for Inclusion, Social Security and Migration"
Joan Subirats Humet,Minister for Universities
