@@,item,itemlabel,startdate,enddate
->,Q60646145,Santiago Valderas Cañestro,1996-07-26->1999-05-21,2000-12-15
->,Q60647131,Antonio Moreno Barberá,2000-12-15,2004-06-25->2004-03-15
+++,Q60647131,Antonio Moreno Barberá,2004-04-17,2004-06-25
->,Q3125146,José Julio Rodríguez Fernández,2008-07-18,2011-12-30->2011-11-21
+++,Q3125146,José Julio Rodríguez Fernández,2011-12-20,2011-12-30
->,Q5859605,Fernando García Sánchez,2011-12-30,2017-03-24->2014-06-19
+++,Q5859605,Fernando García Sánchez,2014-06-19,2017-03-24
->,Q29018615,Fernando Alejandre Martínez,2017-03-24,2020-01-15->2018-06-01
+++,Q29018615,Fernando Alejandre Martínez,2018-06-01,2020-01-15
